sample_index,base_value,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age
44,-0.63386875,0.25335175,2.0157645,0.13911547,-0.08509141,0.27685323,-0.42799404,-0.46718416,0.44104332
672,-0.63386875,0.1031761,-2.4713516,-0.22591706,0.1349816,-1.3778869,-0.029660119,-0.5441344,0.848079
700,-0.63386875,-0.17396793,-1.1240623,0.035591055,-0.20672262,-0.5967702,0.05847543,-0.15557818,-0.6823096
630,-0.63386875,0.20120747,-0.2533961,0.2274427,-0.15872654,0.24377316,-0.56820947,0.20025435,0.26703218
81,-0.63386875,-0.21556087,-3.1866026,0.097939536,-0.05610488,0.19220316,0.448135,-1.0308797,-0.6852159
389,-0.63386875,-0.035067428,-0.7428978,-0.09384271,-0.0028578434,-0.82183784,0.46997544,0.9334255,0.03583828
387,-0.63386875,0.47649065,-0.90871775,-0.4110609,0.103206374,0.24939336,0.35046387,-0.26898497,0.6604705
408,-0.63386875,0.66315186,2.8789232,0.019345265,-0.11038341,0.19471896,-1.2005229,0.7561037,-0.031291872
163,-0.63386875,-0.1791524,-0.88479435,0.10640891,-0.11932704,0.234595,-0.16814768,0.069892965,-1.1830715
335,-0.63386875,0.09933542,2.0870695,-0.049734354,0.101325616,-0.3417798,2.379526,0.18394722,-0.2488513
471,-0.63386875,0.3492219,0.7566079,0.21850558,0.26663315,0.25131142,0.35170516,-0.55959237,-0.37540555
78,-0.63386875,0.22173402,0.51674116,0.307881,-0.03480692,0.28879362,0.70447505,-0.1474796,-0.4489734
307,-0.63386875,-0.13433011,0.40560377,0.06296369,-0.5306096,0.1591801,-1.9003009,-0.6819738,-0.7297725
392,-0.63386875,-0.36294597,0.017752068,0.1592968,-0.4464494,-0.60130626,-1.8309678,0.024996199,-0.9118124
678,-0.63386875,-0.26769423,-0.75232995,-0.1261992,-0.024181686,0.24461423,0.006111797,-0.7733316,-0.4786652
116,-0.63386875,-0.2986931,-0.4497968,-0.10857553,-0.08301896,0.30752778,-0.18341951,-0.4380875,0.3503186
660,-0.63386875,0.3343553,2.08325,0.043667026,-0.0742049,0.20642199,-0.30119947,-0.40487048,0.70166636
742,-0.63386875,-0.35549864,-0.59898067,-0.68207556,-0.072186105,-0.21714684,-0.5813111,-0.44645062,-0.97159463
260,-0.63386875,-0.033704113,2.782605,-0.15205918,-0.45750758,0.35788274,0.3051547,-0.6746998,0.16356617
533,-0.63386875,-0.21837835,-2.208924,0.28247848,-0.13959143,0.25329056,0.20889014,-0.22959594,0.3103925
140,-0.63386875,0.16712189,-0.1817329,0.0068597393,-0.060807656,0.15968995,-2.1145427,0.338827,0.8437293
13,-0.63386875,-0.091592625,2.962523,-0.41586328,-0.052780837,-0.31054345,0.12120967,0.37297523,0.23226517
17,-0.63386875,0.49949664,-0.49494237,0.0805447,-0.06515431,0.2890017,0.23116596,-0.13793488,0.6201196
245,-0.63386875,0.7003681,1.9251977,0.0050954255,-0.41949221,0.24409306,0.42070287,0.7029175,0.48902592
517,-0.63386875,0.1569891,-0.26892486,-0.03152621,-0.114996985,0.26927587,0.24507657,-0.53945845,1.0621194
62,-0.63386875,-0.050695658,-3.039196,0.41056347,-0.13620342,0.12755464,-1.8767668,0.027015282,-0.0017288462
480,-0.63386875,-0.057592176,1.8328264,0.010018019,-0.099048816,-0.6624024,-0.04192375,0.47177002,0.06420502
629,-0.63386875,-0.050719067,-1.6265925,0.11457989,-0.14414003,0.10034121,-1.5337557,-0.89284134,-0.8002815
64,-0.63386875,0.19065216,-0.14085852,0.2093904,-0.08550664,0.3434214,0.57660234,0.021673538,0.6672109
3,-0.63386875,-0.36028174,-1.9469787,0.011791559,-0.09745037,-0.3944125,-0.21192977,-0.5985372,-0.9846843
158,-0.63386875,-0.20024185,-1.9671978,-0.024286935,0.028912649,-0.8961066,-0.10527888,-0.419126,-0.5431099
83,-0.63386875,-0.0986122,-1.0229148,0.18898454,-0.2227514,0.1547443,-1.9932414,-0.15986802,-0.6451437
437,-0.63386875,-0.15596618,0.57865715,0.0051898384,-0.06294482,0.32197475,-0.04970334,-0.013521714,-0.13309988
153,-0.63386875,-0.28128022,0.08209525,-0.20522407,0.14048265,-0.55261606,-0.1097816,0.46872604,-0.3605701
469,-0.63386875,-0.17595087,0.35789528,-0.030835383,0.111286975,0.23545262,2.1884582,0.71592015,-0.22094405
124,-0.63386875,0.14442648,-0.3886962,-0.036299586,-0.0289312,0.26655963,0.31493244,-0.24451351,-0.8364582
305,-0.63386875,-0.22686973,-0.62022233,0.011662968,0.03219822,-0.69165474,-0.1545066,-0.59453315,0.017709276
767,-0.63386875,-0.28737614,-1.6605234,0.22224809,0.12745298,0.23395829,0.15533374,-0.39493802,-0.7592956
746,-0.63386875,-0.070379525,0.57736176,-0.41351905,0.08326301,0.2929384,2.8536098,0.50571364,-0.2769618
345,-0.63386875,0.41895407,-0.09864497,-0.1779645,0.08304681,-0.7671876,0.13630602,0.15100828,0.86847115
745,-0.63386875,0.58580387,-0.6795391,0.2019644,0.09711157,-1.0131912,0.3252568,-0.3122538,0.78829306
596,-0.63386875,0.2692987,-2.8890076,-0.01879541,-0.13939562,0.21569644,0.49161428,-0.88802826,0.6395595
279,-0.63386875,-0.25818074,-0.74068433,0.5632305,-0.08334977,-0.69642687,-1.593984,0.3606152,-0.68341285
264,-0.63386875,-0.21356344,-0.5361257,0.4225689,-0.034862712,0.32567397,0.7245676,-0.039967224,0.4147718
380,-0.63386875,-0.34888405,-0.5849811,0.23275585,0.03499533,-0.58906186,0.21666867,0.8432966,-0.63941854
560,-0.63386875,-0.13329205,-0.14019233,-0.0628872,-0.0872859,0.28416994,-0.20202038,-1.119863,1.0548351
276,-0.63386875,0.40730768,-1.1059253,-0.59605926,-0.07019207,0.14914678,-1.8712784,-0.51479113,0.03719677
501,-0.63386875,-0.14756785,-2.5422866,0.056060176,0.15201874,0.20513697,-0.061961535,-0.2564995,-0.20550525
415,-0.63386875,-0.13038833,3.0763943,-0.028062385,0.09700749,-0.3508031,0.033060655,-0.1577912,-0.66497576
535,-0.63386875,-0.27600652,0.3527955,0.22859776,0.0058303326,0.29748717,0.29186988,-0.8608046,-0.60558987
558,-0.63386875,0.25185478,-0.6171391,-0.111084744,0.029028822,0.26467636,2.0494576,-0.7386363,0.40140846
484,-0.63386875,0.10076964,0.68385476,0.33347955,-0.06777523,0.3109024,0.85643274,0.109677784,0.117563054
428,-0.63386875,0.21340138,0.71379864,-0.5708963,0.4742993,0.274325,-0.17831537,-0.5651613,-0.48865524
89,-0.63386875,-0.38863215,-0.9184069,-0.13340996,-0.057164185,0.13440846,-1.6870178,-0.5952017,-0.76490533
756,-0.63386875,0.17105521,0.535431,-0.43686643,0.15870151,0.29033053,0.5497359,-0.06982755,-0.019029077
531,-0.63386875,-0.0332322,-0.65286124,-0.010089015,-0.09771926,0.2684873,0.98043424,0.7647655,-0.43830255
712,-0.63386875,0.07516576,0.048689064,0.5571556,0.17921172,0.26443666,0.18662965,-0.054558158,0.11645033
532,-0.63386875,-0.27894306,-1.8421502,0.3574316,-0.21767671,-1.0007925,0.08975083,1.0194083,-0.0005416052
355,-0.63386875,0.6020128,1.9409941,-0.20981187,-0.102258354,0.2872221,0.37574437,-0.60023177,0.6462235
713,-0.63386875,-0.26934567,0.55047727,-0.267586,-0.25473234,-0.49224806,-2.043782,0.25900197,-0.88641477
440,-0.63386875,0.21089263,2.904964,-0.575512,0.015208909,0.25234845,0.38313648,0.15617855,0.54235846
311,-0.63386875,0.14529946,-1.0184226,0.16269405,0.27651644,0.2871458,0.28560197,0.37576255,-0.5098703
494,-0.63386875,-0.12453794,-3.1122208,0.10579034,-0.04897592,0.20070325,0.4755287,-0.5449121,-0.6438557
235,-0.63386875,-0.14780538,3.1137931,0.21821669,-0.069912076,0.32687536,0.6487396,0.27208298,-0.23795494
650,-0.63386875,-0.3419048,-2.2051494,-0.5210936,-0.19980602,-0.51208496,-1.5977752,-0.285302,-0.51409835
724,-0.63386875,0.017857399,-0.32355812,-0.46192434,-0.056688324,0.27129817,0.54198104,0.2953299,1.1145865
332,-0.63386875,-0.025855066,2.6335502,0.15440069,-0.0594512,0.33406135,0.54400814,-0.33758485,0.5381187
418,-0.63386875,-0.34050322,-2.8994508,-0.075934805,-0.15624286,0.101412944,-2.2298808,-0.10966489,-0.36957085
410,-0.63386875,-0.34376305,-0.6248767,-0.5302689,0.16383979,0.245331,0.2553409,0.6868435,-0.26385334
743,-0.63386875,0.7326321,0.49373904,-0.5564214,-0.15260288,0.2422892,0.5139525,0.18328148,0.6779465
419,-0.63386875,0.014382101,-0.22661734,0.11429497,-0.060740504,-0.20004246,-1.5552303,-0.48918876,-0.15903375
527,-0.63386875,-0.030116422,-0.56368494,-0.013329576,-0.3044346,-0.3601927,-1.3318868,-1.142275,-0.558574
351,-0.63386875,-0.20932283,0.39343956,-0.17737302,-0.06330117,0.27110708,0.46792442,-0.23595588,0.0056573143
618,-0.63386875,0.77931213,-0.07120046,0.27324158,0.09468636,0.1992639,0.43173978,1.2826717,0.9236158
407,-0.63386875,-0.13901702,-1.0330892,0.45715687,-0.050489742,0.15882377,-2.4986641,-0.10553831,-0.4134202
243,-0.63386875,-0.14607336,-0.4511971,-0.43088743,0.013612313,0.14147262,-1.0813655,1.4092897,0.46260756
190,-0.63386875,-0.028389433,-0.70413876,0.4316195,0.018122436,0.15328047,-1.9797287,-0.8787065,-0.6464208
187,-0.63386875,-0.13693084,0.34425455,-0.42122987,0.0691659,-1.0273982,0.55561525,1.5182743,0.36532012
496,-0.63386875,-0.098715715,-0.7871852,-0.078088194,-0.06989515,0.19981,-1.7855833,-0.48104316,-0.07125568
441,-0.63386875,-0.14736426,-2.8658442,0.13148773,-0.16717029,-0.8439781,0.1129503,-0.24508932,-0.573653
430,-0.63386875,-0.2560806,-1.438867,0.1751805,0.0050241128,0.115033954,-1.9789289,-1.0006216,-0.46463576
